Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
199605487,The Faculty Lounge,Jennifer Mathieu,"Mathieu, Jennifer",,"=""0593475399""","=""9780593475393""",5,Dutton,Hardcover,304,2024,2024,2024/08/08,2024/07/23,,,read,,,,1,0
51642969,All the Lonely People,Mike Gayle,"Gayle, Mike",,"=""1473687403""","=""9781473687400""",4,Hodder & Stoughton,Kindle Edition,430,2020,2020,2024/08/06,2024/08/04,,,read,,,,1,0
54373691,"Tales from the Cafe (Before the Coffee Gets Cold, #2)",Toshikazu Kawaguchi,"Kawaguchi, Toshikazu",Geoffrey Trousselot,"=""1529050863""","=""9781529050868""",5,Picador,Paperback,192,2020,2017,2024/10/13,2024/09/15,,,read,,,,1,0
60224365,"Before Your Memory Fades (Before the Coffee Gets Cold, #3)",Toshikazu Kawaguchi,"Kawaguchi, Toshikazu",Geoffrey Trousselot,"=""0369722698""","=""9780369722690""",5,Hanover Square Press,ebook,220,2022,2018,2024/10/21,2024/09/15,,,read,,,,1,0
36337550,The 7½ Deaths of Evelyn Hardcastle,Stuart Turton,"Turton, Stuart",,"=""""","=""""",4,Sourcebooks Landmark,Hardcover,432,2018,2018,2026/01/27,2026/01/27,,,read,,,,1,0
32051912,The Alice Network,Kate Quinn,"Quinn, Kate",,"=""0062654195""","=""9780062654199""",4,William Morrow Paperbacks,Paperback,503,2017,2017,2026/04/18,2026/03/29,,,read,,,,1,0
45023611,The Roommate (Shameless #1),Rosie Danan,"Danan, Rosie",,"=""059310160X""","=""9780593101605""",3,Berkley,Paperback,325,2020,2020,2026/03/25,2026/03/25,,,read,,,,1,0
223436601,"Careless People: A Cautionary Tale of Power, Greed, and Lost Idealism",Sarah Wynn-Williams,"Wynn-Williams, Sarah",,"=""1250391237""","=""9781250391230""",4,Flatiron Books,Hardcover,382,2025,2025,2026/02/28,2026/02/17,,,read,,,,1,0
35297426,Then She Was Gone,Lisa Jewell,"Jewell, Lisa",,"=""1501154648""","=""9781501154645""",5,Atria Books,Paperback,359,2018,2017,2026/02/16,2026/01/28,,,read,,,,1,0
23168277,"The Sympathizer (The Sympathizer, #1)",Viet Thanh Nguyen,"Nguyen, Viet Thanh",,"=""0802123457""","=""9780802123459""",4,Grove Press,Hardcover,384,2015,2015,2026/02/14,2026/01/28,,,read,,,,1,0
123857637,Never Split the Difference: Negotiating as if Your Life Depended on It,Chris Voss,"Voss, Chris",Tahl Raz,"=""1847941494""","=""9781847941497""",0,Random House Business,Paperback,274,2023,2016,,2026/02/09,to-read,to-read (#27),to-read,,,,0,0
36348525,Severance,Ling  Ma,"Ma, Ling",,"=""0374261598""","=""9780374261597""",0,"Farrar, Straus and Giroux",Hardcover,291,2018,2018,,2026/01/28,to-read,to-read (#26),to-read,,,,0,0
59344312,Verity,Colleen Hoover,"Hoover, Colleen",,"=""153872474X""","=""9781538724743""",3,Grand Central Publishing,ebook,336,2021,2018,2026/01/14,2026/01/09,,,read,,,,1,0
54502643,Billion Dollar Loser: The Epic Rise and Spectacular Fall of Adam Neumann and WeWork,Reeves  Wiedeman,"Wiedeman, Reeves",,"=""0316461369""","=""9780316461368""",0,"Little, Brown and Company",Hardcover,352,2020,2020,,2026/01/24,to-read,to-read (#25),to-read,,,,0,0
37976541,Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,"Carreyrou, John",,"=""""","=""""",5,Knopf,Hardcover,339,2018,2018,2026/01/24,2026/01/23,,,read,,,,1,0
205363984,Taiwan Travelogue,Yáng Shuāng-zǐ,"Shuāng-zǐ, Yáng","楊双子, Lin King","=""1644453150""","=""9781644453155""",4,Graywolf Press,Paperback,298,2024,2020,2026/01/22,2025/05/15,,,read,,,,1,0
180357146,The Covenant of Water,Abraham   Verghese,"Verghese, Abraham",,"=""0802162177""","=""9780802162175""",0,Grove Press,Paperback,715,2025,2023,,2025/10/01,to-read,to-read (#24),to-read,,,,1,0
37570546,"Maybe You Should Talk to Someone: A Therapist, Her Therapist, and Our Lives Revealed",Lori Gottlieb,"Gottlieb, Lori",,"=""1328662055""","=""9781328662057""",4,Harper,Hardcover,415,2019,2019,2025/09/22,2025/06/20,,,read,,,,1,0
171681821,The Anxious Generation: How the Great Rewiring of Childhood Caused an Epidemic of Mental Illness,Jonathan Haidt,"Haidt, Jonathan",,"=""0593655036""","=""9780593655030""",4,Penguin Press,Hardcover,400,2024,2024,2025/08/06,2024/12/18,,,read,,,,1,0
214312329,What Does It Feel Like?,Sophie Kinsella,"Kinsella, Sophie",,"=""0593977564""","=""9780593977569""",4,The Dial Press,Hardcover,133,2024,2024,2025/06/20,2025/06/15,,,read,,,,1,0
199700434,The God of the Woods,Liz    Moore,"Moore, Liz",,"=""0593418913""","=""9780593418918""",4,Riverhead Books,Hardcover,478,2024,2024,2025/06/08,2024/12/08,,,read,,,,1,0
6334,Never Let Me Go,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""1400078776""","=""9781400078776""",0,Vintage Books ,Paperback,288,2010,2005,,2025/05/31,to-read,to-read (#23),to-read,,,,0,0
